"","Name","Link","Time","Difficulty","Author_Name","Calories"
"1","Chicken arrabbiata stew & parmesan dumplings","https://www.bbcgoodfood.com/recipes/recipes/chicken-arrabbiata-stew-parmesan-dumplings","1 hr 30 mins","Easy","Esther Clark","512"
"2","Chipotle sweet potato & black bean stew with cheddar dumplings","https://www.bbcgoodfood.com/recipes/recipes/chipotle-sweet-potato-black-bean-stew-cheddar-dumplings","1 hr","Easy","Esther Clark","547"
"3","Dumplings","https://www.bbcgoodfood.com/recipes/recipes/dumplings","35 mins","Easy","Cassie Best","281"
"4","Pesto chicken stew with cheesy dumplings","https://www.bbcgoodfood.com/recipes/recipes/pesto-chicken-stew-cheesy-dumplings","3 hrs 10 mins","Easy","Good Food team","831"
"5","Chicken & red wine casserole with herby dumplings","https://www.bbcgoodfood.com/recipes/recipes/chicken-red-wine-casserole-herby-dumplings","1 hr 45 mins","More effort","Jo Pratt","701"
"6","Slow cooker vegetable stew with cheddar dumplings","https://www.bbcgoodfood.com/recipes/recipes/spring-veg-stew-cheddar-dumplings","6 hrs 20 mins","Easy","Anna Glover","554"
"7","Beef stew & dumplings","https://www.bbcgoodfood.com/recipes/recipes/lighter-beef-stew-dumplings","2 hrs 55 mins","Easy","Angela Nilsen","571"
"8","Chicken & ham casserole with mustardy dumplings","https://www.bbcgoodfood.com/recipes/recipes/chicken-ham-casserole-with-mustardy-dumplings","1 hr 50 mins","Easy","Esther Clark","517"
"9","Chicken casserole with herby dumplings","https://www.bbcgoodfood.com/recipes/recipes/chicken-casserole-herby-dumplings","1 hr 40 mins","Easy","Sarah Cook","744"
"10","Beef & Guinness stew with bacon dumplings","https://www.bbcgoodfood.com/recipes/recipes/beef-guinness-stew-bacon-dumplings","3 hrs 30 mins","More effort","Tom Kerridge","800"
"11","Brazilian pork stew with corn dumplings","https://www.bbcgoodfood.com/recipes/recipes/brazilian-pork-stew-corn-dumplings","3 hrs","Easy","Sarah Cook","886"
"12","Tomato & harissa stew with cheddar dumplings","https://www.bbcgoodfood.com/recipes/recipes/tomato-harissa-stew-cheddar-dumplings","55 mins","Easy","Sara Buenfeld","444"
"13","Vegetable stew with herby dumplings","https://www.bbcgoodfood.com/recipes/recipes/vegetable-stew-herby-dumplings","2 hrs 10 mins","Easy","Good Food team","391"
"14","Clootie dumpling","https://www.bbcgoodfood.com/recipes/recipes/clootie-dumpling","3 hrs 55 mins","More effort","Sara Buenfeld","499"
"15","Pork goulash with herby dumplings","https://www.bbcgoodfood.com/recipes/recipes/pork-goulash-herby-dumplings","1 hr 55 mins","Easy","Good Food team","476"
"16","Hearty vegetable stew with dumplings","https://www.bbcgoodfood.com/recipes/recipes/hearty-vegetable-stew-with-dumplings","55 mins","Easy","Samantha Couzens","422"
"17","Cepelinai (meat & potato dumplings)","https://www.bbcgoodfood.com/recipes/recipes/cepelinai-meat-potato-dumplings","1 hr 40 mins","More effort","Tomas Lidakevicius","851"
"18","Sri Lankan braised roots stew & coconut dhal dumplings","https://www.bbcgoodfood.com/recipes/recipes/sri-lankan-braised-roots-stew-coconut-dhal-dumplings","1 hr 25 mins","More effort","Rosie Birkett","474"
"19","Spring veggie casserole with little herb dumplings","https://www.bbcgoodfood.com/recipes/recipes/spring-veggie-casserole-little-herb-dumplings","2 hrs","Easy","Good Food team","335"
"20","Pork momos (Nepalese dumplings)","https://www.bbcgoodfood.com/recipes/recipes/pork-momos-nepalese-dumplings","1 hr 20 mins","A challenge","Romy Gill","194"
"21","Golden syrup dumplings","https://www.bbcgoodfood.com/recipes/recipes/golden-syrup-dumplings","30 mins","Easy","John Torode","560"
"22","Lithuanian cepelinai: Potato dumplings with mushroom sauce & bacon","https://www.bbcgoodfood.com/recipes/recipes/lithuanian-cepelinai-potato-dumplings-mushroom-sauce-bacon","1 hr 30 mins","More effort","Miriam Nice","488"
"23","Apple dumpling puddle pudding","https://www.bbcgoodfood.com/recipes/recipes/apple-dumpling-puddle-pudding","1 hr 5 mins","Easy","Cassie Best","763"
"24","Sweet German dumplings (dampfnudel)","https://www.bbcgoodfood.com/recipes/recipes/sweet-german-dumplings","1 hr 20 mins","More effort","Good Food team","528"
"25","Watercress soup with bacon dumplings","https://www.bbcgoodfood.com/recipes/recipes/watercress-soup-bacon-dumplings","1 hr","Easy","Richard Corrigan","306"
"26","Beef stew with horseradish dumplings","https://www.bbcgoodfood.com/recipes/recipes/beef-stew-horseradish-dumplings","3 hrs 25 mins","Easy","John Torode","752"
"27","Chinese dumplings","https://www.bbcgoodfood.com/recipes/recipes/chinese-dumplings","25 mins","Easy","Jane Hornby","141"
"28","Grilled lemon sole with dumplings & lemon sauce","https://www.bbcgoodfood.com/recipes/recipes/grilled-lemon-sole-dumplings-lemon-sauce","1 hr 55 mins","More effort","Good Food team","897"
"29","Boiled beef & carrots with parsley dumplings","https://www.bbcgoodfood.com/recipes/recipes/boiled-beef-carrots-parsley-dumplings","2 hrs 45 mins","More effort","Gordon Ramsay","0"
"30","Open flower dumplings","https://www.bbcgoodfood.com/recipes/recipes/open-flower-dumplings","55 mins","Easy","Ching-He Huang","47"
